corner,acm
0,-6.17e+00
1,-6.24e+00
2,-6.46e+00
3,-6.17e+00
4,-6.24e+00
5,-6.46e+00
6,-6.17e+00
7,-6.24e+00
8,-6.46e+00
9,-6.34e+00
10,-6.39e+00
11,-6.56e+00
12,-6.34e+00
13,-6.39e+00
14,-6.56e+00
15,-6.34e+00
16,-6.39e+00
17,-6.56e+00
18,-6.49e+00
19,-6.53e+00
20,-6.66e+00
21,-6.49e+00
22,-6.53e+00
23,-6.66e+00
24,-6.49e+00
25,-6.53e+00
26,-6.66e+00
27,-9.48e+00
28,-8.51e+00
29,-7.51e+00
30,-9.48e+00
31,-8.51e+00
32,-7.51e+00
33,-9.48e+00
34,-8.51e+00
35,-7.51e+00
36,-1.02e+01
37,-8.97e+00
38,-7.66e+00
39,-1.02e+01
40,-8.97e+00
41,-7.66e+00
42,-1.02e+01
43,-8.97e+00
44,-7.66e+00
45,-1.09e+01
46,-9.44e+00
47,-7.76e+00
48,-1.09e+01
49,-9.44e+00
50,-7.76e+00
51,-1.09e+01
52,-9.44e+00
53,-7.76e+00
54,-2.09e+01
55,-1.71e+01
56,-1.20e+01
57,-2.09e+01
58,-1.71e+01
59,-1.20e+01
60,-2.09e+01
61,-1.71e+01
62,-1.20e+01
63,-2.25e+01
64,-1.84e+01
65,-1.27e+01
66,-2.25e+01
67,-1.84e+01
68,-1.27e+01
69,-2.25e+01
70,-1.84e+01
71,-1.27e+01
72,-2.42e+01
73,-1.98e+01
74,-1.35e+01
75,-2.42e+01
76,-1.98e+01
77,-1.35e+01
78,-2.42e+01
79,-1.98e+01
80,-1.35e+01
81,-6.94e+00
82,-7.09e+00
83,-7.45e+00
84,-6.94e+00
85,-7.09e+00
86,-7.45e+00
87,-6.94e+00
88,-7.09e+00
89,-7.45e+00
90,-6.91e+00
91,-7.04e+00
92,-7.36e+00
93,-6.91e+00
94,-7.04e+00
95,-7.36e+00
96,-6.91e+00
97,-7.04e+00
98,-7.36e+00
99,-5.04e+00
100,-5.63e+00
101,-6.56e+00
102,-5.04e+00
103,-5.63e+00
104,-6.56e+00
105,-5.04e+00
106,-5.63e+00
107,-6.56e+00
108,-2.43e+01
109,-1.96e+01
110,-1.28e+01
111,-2.43e+01
112,-1.96e+01
113,-1.28e+01
114,-2.43e+01
115,-1.96e+01
116,-1.28e+01
117,-2.64e+01
118,-2.14e+01
119,-1.39e+01
120,-2.64e+01
121,-2.14e+01
122,-1.39e+01
123,-2.64e+01
124,-2.14e+01
125,-1.39e+01
126,-2.86e+01
127,-2.33e+01
128,-1.51e+01
129,-2.86e+01
130,-2.33e+01
131,-1.51e+01
132,-2.86e+01
133,-2.33e+01
134,-1.51e+01
max_acm,-5.04e+00
min_acm,-2.86e+01
