corner,dcgain,bw,gbw,pm
0,4.98e+01,7.12e+04,2.95e+07,6.09e+01
1,4.92e+01,7.57e+04,2.94e+07,6.09e+01
2,4.80e+01,8.45e+04,2.84e+07,6.11e+01
3,4.98e+01,7.12e+04,2.95e+07,6.09e+01
4,4.92e+01,7.57e+04,2.94e+07,6.09e+01
5,4.80e+01,8.45e+04,2.84e+07,6.11e+01
6,4.98e+01,7.12e+04,2.95e+07,6.09e+01
7,4.92e+01,7.57e+04,2.94e+07,6.09e+01
8,4.80e+01,8.45e+04,2.84e+07,6.11e+01
9,4.85e+01,7.12e+04,2.40e+07,6.13e+01
10,4.81e+01,7.52e+04,2.41e+07,6.13e+01
11,4.70e+01,8.37e+04,2.39e+07,6.14e+01
12,4.85e+01,7.12e+04,2.40e+07,6.13e+01
13,4.81e+01,7.52e+04,2.41e+07,6.13e+01
14,4.70e+01,8.37e+04,2.39e+07,6.14e+01
15,4.85e+01,7.12e+04,2.40e+07,6.13e+01
16,4.81e+01,7.52e+04,2.41e+07,6.13e+01
17,4.70e+01,8.37e+04,2.39e+07,6.14e+01
18,4.68e+01,7.14e+04,1.86e+07,6.23e+01
19,4.64e+01,7.52e+04,1.89e+07,6.22e+01
20,4.56e+01,8.35e+04,1.92e+07,6.21e+01
21,4.68e+01,7.14e+04,1.86e+07,6.23e+01
22,4.64e+01,7.52e+04,1.89e+07,6.22e+01
23,4.56e+01,8.35e+04,1.92e+07,6.21e+01
24,4.68e+01,7.14e+04,1.86e+07,6.23e+01
25,4.64e+01,7.52e+04,1.89e+07,6.22e+01
26,4.56e+01,8.35e+04,1.92e+07,6.21e+01
27,4.82e+01,2.48e+04,9.71e+06,6.64e+01
28,4.87e+01,3.34e+04,1.33e+07,6.44e+01
29,4.86e+01,5.35e+04,1.96e+07,6.25e+01
30,4.82e+01,2.48e+04,9.71e+06,6.64e+01
31,4.87e+01,3.34e+04,1.33e+07,6.44e+01
32,4.86e+01,5.35e+04,1.96e+07,6.25e+01
33,4.82e+01,2.48e+04,9.71e+06,6.64e+01
34,4.87e+01,3.34e+04,1.33e+07,6.44e+01
35,4.86e+01,5.35e+04,1.96e+07,6.25e+01
36,4.64e+01,2.66e+04,7.77e+06,6.73e+01
37,4.72e+01,3.53e+04,1.10e+07,6.51e+01
38,4.76e+01,5.52e+04,1.69e+07,6.28e+01
39,4.64e+01,2.66e+04,7.77e+06,6.73e+01
40,4.72e+01,3.53e+04,1.10e+07,6.51e+01
41,4.76e+01,5.52e+04,1.69e+07,6.28e+01
42,4.64e+01,2.66e+04,7.77e+06,6.73e+01
43,4.72e+01,3.53e+04,1.10e+07,6.51e+01
44,4.76e+01,5.52e+04,1.69e+07,6.28e+01
45,4.41e+01,2.90e+04,6.06e+06,6.85e+01
46,4.52e+01,3.79e+04,8.75e+06,6.61e+01
47,4.61e+01,5.72e+04,1.40e+07,6.34e+01
48,4.41e+01,2.90e+04,6.06e+06,6.85e+01
49,4.52e+01,3.79e+04,8.75e+06,6.61e+01
50,4.61e+01,5.72e+04,1.40e+07,6.34e+01
51,4.41e+01,2.90e+04,6.06e+06,6.85e+01
52,4.52e+01,3.79e+04,8.75e+06,6.61e+01
53,4.61e+01,5.72e+04,1.40e+07,6.34e+01
54,3.84e+01,6.18e+03,8.05e+05,8.26e+01
55,4.15e+01,9.54e+03,1.86e+06,7.74e+01
56,4.57e+01,2.03e+04,6.11e+06,6.88e+01
57,3.84e+01,6.18e+03,8.05e+05,8.26e+01
58,4.15e+01,9.54e+03,1.86e+06,7.74e+01
59,4.57e+01,2.03e+04,6.11e+06,6.88e+01
60,3.84e+01,6.18e+03,8.05e+05,8.26e+01
61,4.15e+01,9.54e+03,1.86e+06,7.74e+01
62,4.57e+01,2.03e+04,6.11e+06,6.88e+01
63,3.58e+01,6.88e+03,6.05e+05,8.38e+01
64,3.93e+01,1.06e+04,1.43e+06,7.88e+01
65,4.41e+01,2.19e+04,5.03e+06,6.98e+01
66,3.58e+01,6.88e+03,6.05e+05,8.38e+01
67,3.93e+01,1.06e+04,1.43e+06,7.88e+01
68,4.41e+01,2.19e+04,5.03e+06,6.98e+01
69,3.58e+01,6.88e+03,6.05e+05,8.38e+01
70,3.93e+01,1.06e+04,1.43e+06,7.88e+01
71,4.41e+01,2.19e+04,5.03e+06,6.98e+01
72,3.27e+01,7.66e+03,4.52e+05,8.53e+01
73,3.65e+01,1.18e+04,1.08e+06,8.04e+01
74,4.20e+01,2.38e+04,4.05e+06,7.11e+01
75,3.27e+01,7.66e+03,4.52e+05,8.53e+01
76,3.65e+01,1.18e+04,1.08e+06,8.04e+01
77,4.20e+01,2.38e+04,4.05e+06,7.11e+01
78,3.27e+01,7.66e+03,4.52e+05,8.53e+01
79,3.65e+01,1.18e+04,1.08e+06,8.04e+01
80,4.20e+01,2.38e+04,4.05e+06,7.11e+01
81,4.87e+01,6.76e+04,2.46e+07,6.21e+01
82,4.82e+01,7.10e+04,2.43e+07,6.23e+01
83,4.71e+01,7.88e+04,2.36e+07,6.27e+01
84,4.87e+01,6.76e+04,2.46e+07,6.21e+01
85,4.82e+01,7.10e+04,2.43e+07,6.23e+01
86,4.71e+01,7.88e+04,2.36e+07,6.27e+01
87,4.87e+01,6.76e+04,2.46e+07,6.21e+01
88,4.82e+01,7.10e+04,2.43e+07,6.23e+01
89,4.71e+01,7.88e+04,2.36e+07,6.27e+01
90,4.74e+01,6.80e+04,2.00e+07,6.29e+01
91,4.70e+01,7.13e+04,2.00e+07,6.30e+01
92,4.60e+01,7.88e+04,1.99e+07,6.32e+01
93,4.74e+01,6.80e+04,2.00e+07,6.29e+01
94,4.70e+01,7.13e+04,2.00e+07,6.30e+01
95,4.60e+01,7.88e+04,1.99e+07,6.32e+01
96,4.74e+01,6.80e+04,2.00e+07,6.29e+01
97,4.70e+01,7.13e+04,2.00e+07,6.30e+01
98,4.60e+01,7.88e+04,1.99e+07,6.32e+01
99,4.56e+01,6.89e+04,1.53e+07,6.42e+01
100,4.53e+01,7.21e+04,1.55e+07,6.42e+01
101,4.46e+01,7.93e+04,1.60e+07,6.42e+01
102,4.56e+01,6.89e+04,1.53e+07,6.42e+01
103,4.53e+01,7.21e+04,1.55e+07,6.42e+01
104,4.46e+01,7.93e+04,1.60e+07,6.42e+01
105,4.56e+01,6.89e+04,1.53e+07,6.42e+01
106,4.53e+01,7.21e+04,1.55e+07,6.42e+01
107,4.46e+01,7.93e+04,1.60e+07,6.42e+01
108,3.43e+01,3.46e+03,3.06e+05,8.76e+01
109,3.81e+01,5.98e+03,8.79e+05,8.24e+01
110,4.37e+01,1.54e+04,4.24e+06,7.11e+01
111,3.43e+01,3.46e+03,3.06e+05,8.76e+01
112,3.81e+01,5.98e+03,8.79e+05,8.24e+01
113,4.37e+01,1.54e+04,4.24e+06,7.11e+01
114,3.43e+01,3.46e+03,3.06e+05,8.76e+01
115,3.81e+01,5.98e+03,8.79e+05,8.24e+01
116,4.37e+01,1.54e+04,4.24e+06,7.11e+01
117,3.16e+01,3.78e+03,2.12e+05,8.86e+01
118,3.57e+01,6.57e+03,6.29e+05,8.39e+01
119,4.19e+01,1.66e+04,3.31e+06,7.26e+01
120,3.16e+01,3.78e+03,2.12e+05,8.86e+01
121,3.57e+01,6.57e+03,6.29e+05,8.39e+01
122,4.19e+01,1.66e+04,3.31e+06,7.26e+01
123,3.16e+01,3.78e+03,2.12e+05,8.86e+01
124,3.57e+01,6.57e+03,6.29e+05,8.39e+01
125,4.19e+01,1.66e+04,3.31e+06,7.26e+01
126,2.85e+01,4.15e+03,1.47e+05,8.97e+01
127,3.29e+01,7.27e+03,4.48e+05,8.53e+01
128,3.98e+01,1.81e+04,2.54e+06,7.42e+01
129,2.85e+01,4.15e+03,1.47e+05,8.97e+01
130,3.29e+01,7.27e+03,4.48e+05,8.53e+01
131,3.98e+01,1.81e+04,2.54e+06,7.42e+01
132,2.85e+01,4.15e+03,1.47e+05,8.97e+01
133,3.29e+01,7.27e+03,4.48e+05,8.53e+01
134,3.98e+01,1.81e+04,2.54e+06,7.42e+01
max_dcgain,4.98e+01
min_dcgain,2.85e+01
max_bw,8.45e+04
min_bw,3.46e+03
max_gbw,2.95e+07
min_gbw,1.47e+05
max_pm,8.97e+01
min_pm,6.09e+01
