corner,noise
0,4.97e-04
1,5.13e-04
2,5.56e-04
3,4.97e-04
4,5.13e-04
5,5.56e-04
6,4.97e-04
7,5.13e-04
8,5.56e-04
9,5.21e-04
10,5.40e-04
11,5.88e-04
12,5.21e-04
13,5.40e-04
14,5.88e-04
15,5.21e-04
16,5.40e-04
17,5.88e-04
18,5.64e-04
19,5.86e-04
20,6.37e-04
21,5.64e-04
22,5.86e-04
23,6.37e-04
24,5.64e-04
25,5.86e-04
26,6.37e-04
27,8.10e-04
28,7.20e-04
29,6.61e-04
30,8.10e-04
31,7.20e-04
32,6.61e-04
33,8.10e-04
34,7.20e-04
35,6.61e-04
36,9.37e-04
37,7.90e-04
38,7.00e-04
39,9.37e-04
40,7.90e-04
41,7.00e-04
42,9.37e-04
43,7.90e-04
44,7.00e-04
45,1.17e-03
46,9.11e-04
47,7.61e-04
48,1.17e-03
49,9.11e-04
50,7.61e-04
51,1.17e-03
52,9.11e-04
53,7.61e-04
54,7.15e-03
55,3.92e-03
56,1.38e-03
57,7.15e-03
58,3.92e-03
59,1.38e-03
60,7.15e-03
61,3.92e-03
62,1.38e-03
63,8.40e-03
64,5.44e-03
65,1.67e-03
66,8.40e-03
67,5.44e-03
68,1.67e-03
69,8.40e-03
70,5.44e-03
71,1.67e-03
72,9.22e-03
73,7.16e-03
74,2.14e-03
75,9.22e-03
76,7.16e-03
77,2.14e-03
78,9.22e-03
79,7.16e-03
80,2.14e-03
81,5.58e-04
82,5.80e-04
83,6.27e-04
84,5.58e-04
85,5.80e-04
86,6.27e-04
87,5.58e-04
88,5.80e-04
89,6.27e-04
90,5.84e-04
91,6.07e-04
92,6.58e-04
93,5.84e-04
94,6.07e-04
95,6.58e-04
96,5.84e-04
97,6.07e-04
98,6.58e-04
99,6.31e-04
100,6.55e-04
101,7.08e-04
102,6.31e-04
103,6.55e-04
104,7.08e-04
105,6.31e-04
106,6.55e-04
107,7.08e-04
108,9.37e-03
109,7.02e-03
110,1.91e-03
111,9.37e-03
112,7.02e-03
113,1.91e-03
114,9.37e-03
115,7.02e-03
116,1.91e-03
117,1.01e-02
118,8.64e-03
119,2.55e-03
120,1.01e-02
121,8.64e-03
122,2.55e-03
123,1.01e-02
124,8.64e-03
125,2.55e-03
126,1.05e-02
127,9.76e-03
128,3.61e-03
129,1.05e-02
130,9.76e-03
131,3.61e-03
132,1.05e-02
133,9.76e-03
134,3.61e-03
max_noise,1.05e-02
min_noise,4.97e-04
