corner,psr
0,-1.82e+01
1,-1.85e+01
2,-1.91e+01
3,-1.82e+01
4,-1.85e+01
5,-1.91e+01
6,-1.82e+01
7,-1.85e+01
8,-1.91e+01
9,-1.57e+01
10,-1.61e+01
11,-1.68e+01
12,-1.57e+01
13,-1.61e+01
14,-1.68e+01
15,-1.57e+01
16,-1.61e+01
17,-1.68e+01
18,-1.26e+01
19,-1.31e+01
20,-1.41e+01
21,-1.26e+01
22,-1.31e+01
23,-1.41e+01
24,-1.26e+01
25,-1.31e+01
26,-1.41e+01
27,-1.69e+01
28,-1.70e+01
29,-1.72e+01
30,-1.69e+01
31,-1.70e+01
32,-1.72e+01
33,-1.69e+01
34,-1.70e+01
35,-1.72e+01
36,-1.46e+01
37,-1.47e+01
38,-1.50e+01
39,-1.46e+01
40,-1.47e+01
41,-1.50e+01
42,-1.46e+01
43,-1.47e+01
44,-1.50e+01
45,-1.18e+01
46,-1.19e+01
47,-1.24e+01
48,-1.18e+01
49,-1.19e+01
50,-1.24e+01
51,-1.18e+01
52,-1.19e+01
53,-1.24e+01
54,-1.57e+01
55,-1.58e+01
56,-1.61e+01
57,-1.57e+01
58,-1.58e+01
59,-1.61e+01
60,-1.57e+01
61,-1.58e+01
62,-1.61e+01
63,-1.40e+01
64,-1.40e+01
65,-1.43e+01
66,-1.40e+01
67,-1.40e+01
68,-1.43e+01
69,-1.40e+01
70,-1.40e+01
71,-1.43e+01
72,-1.19e+01
73,-1.18e+01
74,-1.21e+01
75,-1.19e+01
76,-1.18e+01
77,-1.21e+01
78,-1.19e+01
79,-1.18e+01
80,-1.21e+01
81,-1.30e+01
82,-1.33e+01
83,-1.40e+01
84,-1.30e+01
85,-1.33e+01
86,-1.40e+01
87,-1.30e+01
88,-1.33e+01
89,-1.40e+01
90,-1.11e+01
91,-1.15e+01
92,-1.24e+01
93,-1.11e+01
94,-1.15e+01
95,-1.24e+01
96,-1.11e+01
97,-1.15e+01
98,-1.24e+01
99,-4.65e+00
100,-6.18e+00
101,-8.70e+00
102,-4.65e+00
103,-6.18e+00
104,-8.70e+00
105,-4.65e+00
106,-6.18e+00
107,-8.70e+00
108,-1.83e+01
109,-1.80e+01
110,-1.86e+01
111,-1.83e+01
112,-1.80e+01
113,-1.86e+01
114,-1.83e+01
115,-1.80e+01
116,-1.86e+01
117,-1.69e+01
118,-1.65e+01
119,-1.67e+01
120,-1.69e+01
121,-1.65e+01
122,-1.67e+01
123,-1.69e+01
124,-1.65e+01
125,-1.67e+01
126,-1.52e+01
127,-1.48e+01
128,-1.48e+01
129,-1.52e+01
130,-1.48e+01
131,-1.48e+01
132,-1.52e+01
133,-1.48e+01
134,-1.48e+01
max_psr,-4.65e+00
min_psr,-1.91e+01
