corner,thd
0,1.13e-02
1,9.60e-03
2,8.06e-03
3,1.13e-02
4,9.60e-03
5,8.06e-03
6,1.13e-02
7,9.60e-03
8,8.06e-03
9,2.98e-01
10,2.28e-01
11,1.25e-01
12,2.98e-01
13,2.28e-01
14,1.25e-01
15,2.98e-01
16,2.28e-01
17,1.25e-01
18,1.13e+00
19,1.26e+00
20,9.78e-01
21,1.13e+00
22,1.26e+00
23,9.78e-01
24,1.13e+00
25,1.26e+00
26,9.78e-01
27,9.90e-03
28,1.03e-02
29,1.04e-02
30,9.90e-03
31,1.03e-02
32,1.04e-02
33,9.90e-03
34,1.03e-02
35,1.04e-02
36,3.38e-01
37,2.87e-01
38,1.87e-01
39,3.38e-01
40,2.87e-01
41,1.87e-01
42,3.38e-01
43,2.87e-01
44,1.87e-01
45,5.91e-01
46,8.57e-01
47,1.12e+00
48,5.91e-01
49,8.57e-01
50,1.12e+00
51,5.91e-01
52,8.57e-01
53,1.12e+00
54,2.03e-02
55,1.26e-02
56,1.00e-02
57,2.03e-02
58,1.26e-02
59,1.00e-02
60,2.03e-02
61,1.26e-02
62,1.00e-02
63,1.76e-01
64,2.27e-01
65,1.82e-01
66,1.76e-01
67,2.27e-01
68,1.82e-01
69,1.76e-01
70,2.27e-01
71,1.82e-01
72,2.80e-01
73,2.93e-01
74,8.83e-01
75,2.80e-01
76,2.93e-01
77,8.83e-01
78,2.80e-01
79,2.93e-01
80,8.83e-01
81,1.53e-01
82,1.24e-01
83,8.16e-02
84,1.53e-01
85,1.24e-01
86,8.16e-02
87,1.53e-01
88,1.24e-01
89,8.16e-02
90,1.03e+00
91,9.53e-01
92,6.52e-01
93,1.03e+00
94,9.53e-01
95,6.52e-01
96,1.03e+00
97,9.53e-01
98,6.52e-01
99,1.03e+00
100,1.43e+00
101,1.07e+01
102,1.03e+00
103,1.43e+00
104,1.07e+01
105,1.03e+00
106,1.43e+00
107,1.07e+01
108,4.21e-02
109,2.00e-02
110,1.20e-02
111,4.21e-02
112,2.00e-02
113,1.20e-02
114,4.21e-02
115,2.00e-02
116,1.20e-02
117,4.07e-02
118,1.93e-02
119,1.18e-02
120,4.07e-02
121,1.93e-02
122,1.18e-02
123,4.07e-02
124,1.93e-02
125,1.18e-02
126,1.46e-01
127,2.22e-01
128,2.87e-01
129,1.46e-01
130,2.22e-01
131,2.87e-01
132,1.46e-01
133,2.22e-01
134,2.87e-01
max_offset,1.07e+01
min_offset,8.06e-03
